transaction_id,city,date,card_type,exp_type,gender,amount
53,Ahmedabad,2013-12-21,Signature,Bills,F,402300.0
54,Delhi,2013-12-07,Signature,Bills,F,733125.0
55,Greater Mumbai,2014-02-07,Signature,Bills,F,545977.0
56,Bengaluru,2015-05-13,Silver,Bills,F,371572.0
57,Ahmedabad,2015-01-28,Signature,Bills,F,326283.0
58,Delhi,2014-12-09,Platinum,Bills,F,279051.0
59,Delhi,2013-10-08,Platinum,Bills,F,900101.0
60,Ahmedabad,2014-04-24,Silver,Bills,F,545286.0
61,Delhi,2015-01-13,Platinum,Bills,F,722587.0
62,Bengaluru,2014-03-14,Platinum,Bills,F,411062.0
63,Delhi,2014-02-27,Platinum,Bills,F,660910.0
64,Greater Mumbai,2013-10-29,Signature,Bills,F,557370.0
65,Greater Mumbai,2014-06-22,Platinum,Bills,F,549794.0
66,Delhi,2014-01-23,Platinum,Bills,F,340133.0
67,Bengaluru,2013-11-10,Gold,Bills,F,265417.0
68,Greater Mumbai,2013-12-13,Platinum,Bills,F,358185.0
69,Greater Mumbai,2014-03-22,Gold,Bills,F,991685.0
70,Greater Mumbai,2015-01-13,Gold,Bills,F,533762.0
71,Greater Mumbai,2014-05-08,Gold,Bills,F,829742.0
72,Delhi,2014-02-18,Silver,Bills,F,441527.0
73,Delhi,2013-10-04,Signature,Bills,F,550782.0
74,Greater Mumbai,2014-06-14,Platinum,Bills,F,835872.0
75,Ahmedabad,2014-08-24,Silver,Bills,F,540497.0
76,Greater Mumbai,2015-04-02,Platinum,Bills,F,525977.0
77,Greater Mumbai,2014-06-27,Gold,Bills,F,789393.0
78,Greater Mumbai,2015-02-06,Platinum,Bills,F,689478.0
79,Bengaluru,2014-03-29,Silver,Bills,F,499079.0
80,Ahmedabad,2014-04-22,Platinum,Bills,F,665107.0
81,Greater Mumbai,2014-10-14,Platinum,Bills,F,998077.0
82,Ahmedabad,2014-02-02,Silver,Bills,F,934205.0
83,Bengaluru,2015-04-01,Platinum,Bills,F,823426.0
84,Ahmedabad,2015-01-13,Signature,Bills,F,282910.0
85,Bengaluru,2014-03-27,Gold,Bills,F,418675.0
86,Ahmedabad,2015-02-17,Silver,Bills,F,804949.0
87,Bengaluru,2015-02-10,Gold,Bills,F,686601.0
88,Greater Mumbai,2014-02-26,Silver,Bills,F,561220.0
89,Greater Mumbai,2015-05-07,Gold,Bills,F,762534.0
90,Bengaluru,2014-01-05,Gold,Bills,F,327947.0
91,Bengaluru,2014-04-07,Gold,Bills,F,492986.0
92,Delhi,2015-02-20,Signature,Bills,F,369237.0
93,Bengaluru,2015-01-19,Platinum,Bills,F,983839.0
94,Ahmedabad,2014-11-14,Gold,Bills,F,776716.0
95,Greater Mumbai,2014-07-21,Gold,Bills,F,664632.0
96,Bengaluru,2015-02-03,Gold,Bills,F,466727.0
97,Bengaluru,2013-11-01,Gold,Bills,F,896384.0
98,Delhi,2013-12-07,Signature,Bills,F,712001.0
99,Greater Mumbai,2014-08-05,Silver,Bills,F,246865.0
100,Greater Mumbai,2015-01-08,Signature,Bills,F,858729.0
101,Delhi,2015-04-11,Platinum,Bills,F,581882.0
102,Greater Mumbai,2015-02-15,Signature,Bills,F,646426.0
103,Bengaluru,2015-03-24,Silver,Bills,F,687088.0
104,Bengaluru,2013-10-13,Signature,Bills,F,973026.0
105,Greater Mumbai,2015-04-24,Silver,Bills,F,944398.0
106,Ahmedabad,2014-11-09,Platinum,Bills,F,414422.0
107,Bengaluru,2015-02-04,Signature,Bills,F,408503.0
108,Bengaluru,2014-03-06,Signature,Bills,F,984466.0
109,Greater Mumbai,2014-03-27,Gold,Bills,F,919997.0
110,Greater Mumbai,2013-11-13,Signature,Bills,F,535101.0
111,Greater Mumbai,2013-10-22,Signature,Bills,F,978301.0
112,Greater Mumbai,2014-09-27,Gold,Bills,F,880406.0
113,Ahmedabad,2014-11-14,Silver,Bills,F,447241.0
114,Bengaluru,2013-10-21,Platinum,Bills,F,382191.0
115,Bengaluru,2015-05-15,Silver,Bills,F,775859.0
116,Bengaluru,2014-03-21,Platinum,Bills,F,832637.0
117,Bengaluru,2015-04-03,Platinum,Bills,F,458526.0
118,Ahmedabad,2015-04-06,Signature,Bills,F,440995.0
119,Ahmedabad,2013-11-05,Platinum,Bills,F,490128.0
120,Delhi,2013-10-07,Platinum,Bills,F,897079.0
121,Delhi,2014-10-31,Gold,Bills,F,431948.0
122,Bengaluru,2014-04-03,Silver,Bills,F,228072.0
123,Delhi,2013-11-21,Gold,Bills,F,757649.0
124,Delhi,2014-05-11,Signature,Bills,F,919877.0
125,Greater Mumbai,2014-05-23,Gold,Bills,F,605615.0
126,Bengaluru,2015-05-22,Platinum,Bills,F,500852.0
127,Greater Mumbai,2015-02-15,Signature,Bills,F,488136.0
128,Delhi,2014-06-16,Gold,Bills,F,937828.0
129,Delhi,2014-01-27,Gold,Bills,F,315873.0
130,Greater Mumbai,2015-05-20,Silver,Bills,F,567623.0
131,Greater Mumbai,2013-10-29,Platinum,Bills,F,555123.0
132,Bengaluru,2014-04-20,Gold,Bills,F,498843.0
133,Greater Mumbai,2014-05-23,Silver,Bills,F,752610.0
134,Greater Mumbai,2015-03-11,Platinum,Bills,F,494540.0
135,Delhi,2013-10-27,Gold,Bills,F,996754.0
136,Ahmedabad,2014-07-14,Signature,Bills,F,245572.0
137,Delhi,2014-04-18,Gold,Bills,F,974384.0
138,Ahmedabad,2014-03-25,Silver,Bills,F,846635.0
139,Ahmedabad,2014-09-01,Silver,Bills,F,635473.0
140,Delhi,2015-03-23,Gold,Bills,F,224510.0
141,Delhi,2015-01-24,Silver,Bills,F,478671.0
142,Greater Mumbai,2013-10-04,Gold,Bills,F,990700.0
143,Delhi,2014-03-14,Gold,Bills,F,228565.0
144,Bengaluru,2014-01-03,Silver,Bills,F,297732.0
145,Greater Mumbai,2014-12-03,Signature,Bills,F,559262.0
146,Bengaluru,2014-07-01,Signature,Bills,F,809907.0
147,Ahmedabad,2014-08-21,Signature,Bills,F,428316.0
148,Ahmedabad,2014-03-05,Signature,Bills,F,275065.0
149,Bengaluru,2014-04-20,Silver,Bills,F,845653.0
150,Ahmedabad,2013-11-20,Signature,Bills,F,236296.0
151,Bengaluru,2014-09-25,Signature,Bills,F,440572.0
152,Ahmedabad,2015-02-06,Gold,Bills,F,478115.0
153,Bengaluru,2013-10-26,Gold,Bills,F,897621.0
154,Greater Mumbai,2015-05-06,Signature,Bills,F,554281.0
155,Delhi,2014-09-30,Silver,Bills,F,245452.0
156,Delhi,2014-01-17,Platinum,Bills,F,365045.0
157,Greater Mumbai,2015-01-11,Gold,Bills,F,496047.0
158,Bengaluru,2015-02-11,Silver,Bills,F,466814.0
159,Bengaluru,2014-11-10,Gold,Bills,F,835177.0
160,Delhi,2015-01-12,Silver,Bills,F,219698.0
161,Bengaluru,2014-10-18,Silver,Bills,F,784541.0
162,Delhi,2013-10-25,Signature,Bills,F,576994.0
163,Bengaluru,2015-05-15,Gold,Bills,F,464663.0
164,Bengaluru,2014-05-03,Platinum,Bills,F,380270.0
165,Ahmedabad,2014-10-02,Silver,Bills,F,772082.0
166,Delhi,2015-04-09,Gold,Bills,F,230853.0
167,Bengaluru,2013-10-06,Signature,Bills,F,677654.0
168,Greater Mumbai,2014-02-05,Signature,Bills,F,929247.0
169,Ahmedabad,2015-04-09,Platinum,Bills,F,851374.0
170,Ahmedabad,2014-01-19,Platinum,Bills,F,637600.0
171,Greater Mumbai,2013-11-09,Platinum,Bills,F,681749.0
172,Delhi,2014-03-25,Silver,Bills,F,847958.0
173,Greater Mumbai,2014-02-18,Gold,Bills,F,877569.0
174,Ahmedabad,2013-10-14,Platinum,Bills,F,450413.0
175,Bengaluru,2015-05-01,Signature,Bills,F,219041.0
176,Bengaluru,2014-12-31,Gold,Bills,F,866572.0
177,Greater Mumbai,2014-03-26,Signature,Bills,F,570791.0
178,Ahmedabad,2014-04-28,Silver,Bills,F,705464.0
179,Greater Mumbai,2014-04-06,Signature,Bills,F,806821.0
180,Greater Mumbai,2014-03-27,Platinum,Bills,F,515472.0
181,Ahmedabad,2014-09-23,Silver,Bills,F,352207.0
182,Ahmedabad,2015-03-04,Gold,Bills,F,342761.0
183,Bengaluru,2014-02-27,Signature,Bills,F,249099.0
184,Ahmedabad,2014-08-27,Platinum,Bills,F,995634.0
185,Bengaluru,2014-12-12,Signature,Bills,F,435097.0
186,Ahmedabad,2014-06-16,Platinum,Bills,F,797815.0
187,Delhi,2014-01-02,Gold,Bills,F,326922.0
188,Bengaluru,2014-12-11,Gold,Bills,F,396241.0
189,Delhi,2014-12-14,Gold,Bills,F,486949.0
190,Greater Mumbai,2014-01-17,Gold,Bills,F,333483.0
191,Ahmedabad,2013-10-05,Platinum,Bills,F,612572.0
192,Bengaluru,2015-03-18,Silver,Bills,F,327244.0
193,Ahmedabad,2014-02-04,Silver,Bills,F,955468.0
194,Greater Mumbai,2015-02-25,Gold,Bills,F,927864.0
195,Delhi,2014-03-28,Signature,Bills,F,555220.0
196,Delhi,2014-12-28,Silver,Bills,F,952640.0
197,Ahmedabad,2014-05-31,Silver,Bills,F,695749.0
198,Greater Mumbai,2014-08-22,Platinum,Bills,F,365724.0
199,Greater Mumbai,2015-03-03,Platinum,Bills,F,738108.0
200,Ahmedabad,2015-01-17,Platinum,Bills,F,650785.0
201,Delhi,2014-10-23,Signature,Bills,F,611486.0
202,Bengaluru,2014-08-05,Platinum,Bills,F,965721.0
203,Ahmedabad,2014-10-12,Gold,Bills,F,413052.0
204,Ahmedabad,2014-01-22,Silver,Bills,F,584822.0
205,Ahmedabad,2015-03-25,Gold,Bills,F,980146.0
206,Ahmedabad,2014-10-10,Signature,Bills,F,926072.0
207,Delhi,2014-04-16,Silver,Bills,F,482394.0
208,Bengaluru,2014-02-21,Signature,Bills,F,718346.0
209,Bengaluru,2014-04-24,Silver,Bills,F,491598.0
210,Delhi,2014-09-07,Platinum,Bills,F,848852.0
211,Bengaluru,2014-12-28,Gold,Bills,F,396139.0
212,Ahmedabad,2014-10-13,Signature,Bills,F,856974.0
213,Ahmedabad,2015-04-03,Signature,Bills,F,855990.0
214,Delhi,2015-02-16,Signature,Bills,F,924776.0
215,Greater Mumbai,2014-04-03,Signature,Bills,F,204850.0
216,Delhi,2013-11-03,Platinum,Bills,F,780669.0
217,Greater Mumbai,2014-04-17,Signature,Bills,F,887442.0
218,Delhi,2014-01-22,Signature,Bills,F,297820.0
219,Delhi,2015-03-14,Signature,Bills,F,687879.0
220,Greater Mumbai,2013-10-13,Silver,Bills,F,738456.0
221,Delhi,2014-08-24,Platinum,Bills,F,378535.0
222,Greater Mumbai,2015-05-09,Silver,Bills,F,334116.0
223,Delhi,2014-06-07,Silver,Bills,F,772360.0
224,Ahmedabad,2014-11-26,Gold,Bills,F,580796.0
225,Greater Mumbai,2014-10-21,Silver,Bills,F,855465.0
226,Greater Mumbai,2014-06-15,Gold,Bills,F,978989.0
227,Ahmedabad,2015-04-25,Gold,Bills,F,451874.0
228,Ahmedabad,2014-09-07,Silver,Bills,F,670750.0
229,Bengaluru,2015-05-19,Signature,Bills,F,977951.0
230,Delhi,2014-02-23,Platinum,Bills,F,403466.0
231,Delhi,2013-10-28,Signature,Bills,F,861177.0
232,Ahmedabad,2014-12-17,Gold,Bills,F,528612.0
233,Ahmedabad,2014-12-04,Signature,Bills,F,339670.0
234,Delhi,2013-11-18,Signature,Bills,F,963751.0
235,Ahmedabad,2014-11-30,Gold,Bills,F,761930.0
236,Ahmedabad,2014-08-21,Signature,Bills,F,852806.0
237,Delhi,2014-05-25,Signature,Bills,F,207755.0
238,Greater Mumbai,2015-04-19,Gold,Bills,F,489540.0
239,Ahmedabad,2014-03-25,Silver,Bills,F,274395.0
240,Bengaluru,2014-02-11,Platinum,Bills,F,566945.0
241,Ahmedabad,2014-12-09,Gold,Bills,F,705690.0
242,Bengaluru,2014-03-25,Gold,Bills,F,894888.0
243,Greater Mumbai,2014-01-02,Platinum,Bills,F,811899.0
244,Greater Mumbai,2014-12-25,Silver,Bills,F,677645.0
245,Greater Mumbai,2014-10-16,Platinum,Bills,F,326162.0
246,Delhi,2015-04-19,Platinum,Bills,F,316946.0
247,Delhi,2014-01-20,Platinum,Bills,F,622373.0
248,Bengaluru,2014-05-10,Signature,Bills,F,640653.0
249,Ahmedabad,2015-01-09,Signature,Bills,F,745493.0
250,Delhi,2013-10-31,Gold,Bills,F,868021.0
251,Delhi,2014-11-28,Platinum,Bills,F,284923.0
252,Bengaluru,2014-07-21,Platinum,Bills,F,814422.0
253,Bengaluru,2015-04-22,Gold,Bills,F,599741.0
254,Ahmedabad,2014-06-10,Platinum,Bills,F,804560.0
255,Ahmedabad,2015-04-17,Gold,Bills,F,996291.0
256,Ahmedabad,2013-11-09,Platinum,Bills,F,477553.0
257,Delhi,2015-01-02,Gold,Bills,F,216028.0
258,Greater Mumbai,2015-03-10,Signature,Bills,F,275427.0
259,Delhi,2013-12-22,Silver,Bills,F,722048.0
260,Delhi,2015-02-14,Silver,Bills,F,292365.0
261,Ahmedabad,2015-01-30,Silver,Bills,F,400393.0
262,Greater Mumbai,2014-04-01,Platinum,Bills,F,219720.0
263,Delhi,2015-02-15,Signature,Bills,F,981404.0
264,Bengaluru,2014-11-24,Signature,Bills,F,639670.0
265,Bengaluru,2014-08-07,Gold,Bills,F,814333.0
266,Ahmedabad,2013-10-17,Gold,Bills,F,569582.0
267,Ahmedabad,2014-05-25,Gold,Bills,F,954111.0
268,Ahmedabad,2014-05-16,Gold,Bills,F,635267.0
269,Delhi,2013-10-11,Gold,Bills,F,393651.0
270,Ahmedabad,2014-06-02,Platinum,Bills,F,572306.0
271,Ahmedabad,2014-08-06,Silver,Bills,F,407647.0
272,Greater Mumbai,2015-01-26,Gold,Bills,F,734396.0
273,Delhi,2015-03-02,Platinum,Bills,F,224414.0
274,Ahmedabad,2014-09-10,Signature,Bills,F,203194.0
275,Greater Mumbai,2015-01-22,Gold,Bills,F,250410.0
276,Delhi,2015-04-04,Silver,Bills,F,830697.0
277,Greater Mumbai,2014-05-16,Platinum,Bills,F,790800.0
278,Greater Mumbai,2014-02-22,Silver,Bills,F,638570.0
279,Greater Mumbai,2014-08-13,Silver,Bills,F,380409.0
280,Greater Mumbai,2014-04-01,Gold,Bills,F,601631.0
281,Ahmedabad,2014-01-08,Gold,Bills,F,690534.0
282,Ahmedabad,2015-03-05,Silver,Bills,F,423661.0
283,Greater Mumbai,2014-12-08,Silver,Bills,F,936294.0
284,Bengaluru,2014-11-29,Platinum,Bills,F,537050.0
285,Delhi,2015-03-08,Silver,Bills,F,899343.0
286,Greater Mumbai,2013-11-25,Platinum,Bills,F,834691.0
287,Ahmedabad,2015-04-13,Silver,Bills,F,240216.0
288,Greater Mumbai,2014-04-15,Signature,Bills,F,424370.0
289,Delhi,2015-02-13,Silver,Bills,F,593991.0
290,Greater Mumbai,2014-10-02,Signature,Bills,F,768467.0
291,Delhi,2015-02-07,Gold,Bills,F,781959.0
292,Bengaluru,2014-12-27,Platinum,Bills,F,553907.0
293,Bengaluru,2014-08-04,Platinum,Bills,F,308622.0
294,Greater Mumbai,2015-05-05,Signature,Bills,F,912334.0
295,Delhi,2015-01-28,Silver,Bills,F,586474.0
296,Delhi,2014-04-06,Gold,Bills,F,521237.0
297,Delhi,2013-10-30,Signature,Bills,F,446266.0
298,Greater Mumbai,2014-09-30,Platinum,Bills,F,511168.0
299,Bengaluru,2013-12-28,Signature,Bills,F,608438.0
300,Delhi,2014-10-18,Gold,Bills,F,973519.0
301,Delhi,2014-11-28,Platinum,Bills,F,688577.0
302,Bengaluru,2014-05-12,Silver,Bills,F,686619.0
303,Greater Mumbai,2014-11-06,Signature,Bills,F,255982.0
304,Greater Mumbai,2014-03-02,Signature,Bills,F,464656.0
305,Delhi,2015-04-19,Signature,Bills,F,212319.0
306,Greater Mumbai,2015-04-18,Platinum,Bills,F,307563.0
307,Delhi,2015-04-15,Silver,Bills,F,407564.0
308,Bengaluru,2014-10-12,Signature,Bills,F,331349.0
309,Delhi,2015-04-14,Silver,Bills,F,391325.0
310,Ahmedabad,2014-10-07,Silver,Bills,F,530244.0
311,Greater Mumbai,2014-04-16,Signature,Bills,F,668736.0
312,Bengaluru,2014-12-03,Gold,Bills,F,517448.0
313,Ahmedabad,2014-08-03,Platinum,Bills,F,788531.0
314,Ahmedabad,2014-03-17,Gold,Bills,F,474729.0
315,Bengaluru,2015-01-16,Platinum,Bills,F,590841.0
316,Greater Mumbai,2014-01-05,Platinum,Bills,F,608427.0
317,Delhi,2015-05-02,Silver,Bills,F,719835.0
318,Delhi,2013-12-30,Signature,Bills,F,375139.0
319,Bengaluru,2014-05-19,Platinum,Bills,F,229589.0
320,Bengaluru,2014-07-05,Signature,Bills,F,376453.0
321,Delhi,2013-10-10,Signature,Bills,F,360009.0
322,Ahmedabad,2014-08-03,Signature,Bills,F,770346.0
323,Greater Mumbai,2015-05-23,Signature,Bills,F,489043.0
324,Bengaluru,2014-11-11,Platinum,Bills,F,503037.0
325,Greater Mumbai,2014-01-11,Platinum,Bills,F,731261.0
326,Ahmedabad,2014-02-14,Signature,Bills,F,262755.0
327,Greater Mumbai,2014-07-16,Gold,Bills,F,825475.0
328,Greater Mumbai,2014-02-24,Platinum,Bills,F,922630.0
329,Delhi,2014-09-25,Gold,Bills,F,752172.0
330,Ahmedabad,2014-06-11,Gold,Bills,F,418009.0
331,Delhi,2014-06-07,Signature,Bills,F,994537.0
332,Greater Mumbai,2014-08-02,Silver,Bills,F,922206.0
333,Greater Mumbai,2014-05-21,Signature,Bills,F,389097.0
334,Bengaluru,2015-04-04,Signature,Bills,F,880778.0
335,Greater Mumbai,2015-03-03,Gold,Bills,F,327971.0
336,Bengaluru,2014-03-02,Signature,Bills,F,689201.0
337,Bengaluru,2015-05-17,Silver,Bills,F,792440.0
338,Bengaluru,2015-03-17,Signature,Bills,F,602222.0
339,Ahmedabad,2014-09-03,Platinum,Bills,F,502399.0
340,Ahmedabad,2014-03-17,Silver,Bills,F,272804.0
341,Bengaluru,2014-06-06,Platinum,Bills,F,613280.0
342,Delhi,2014-10-17,Signature,Bills,F,876491.0
343,Bengaluru,2014-02-25,Silver,Bills,F,820217.0
344,Greater Mumbai,2014-09-06,Signature,Bills,F,994184.0
345,Ahmedabad,2013-12-07,Platinum,Bills,F,515263.0
346,Ahmedabad,2014-08-28,Signature,Bills,F,338527.0
347,Ahmedabad,2014-06-16,Silver,Bills,F,934683.0
348,Ahmedabad,2014-07-07,Signature,Bills,F,454570.0
349,Greater Mumbai,2015-01-28,Gold,Bills,F,654519.0
350,Ahmedabad,2014-06-12,Gold,Bills,F,958047.0
351,Bengaluru,2013-11-03,Silver,Bills,F,465281.0
352,Ahmedabad,2013-12-31,Signature,Bills,F,653161.0
353,Ahmedabad,2014-04-14,Gold,Bills,F,307350.0
354,Greater Mumbai,2014-08-27,Silver,Bills,F,41002.0
355,Bengaluru,2014-01-03,Silver,Bills,F,34743.0
356,Bengaluru,2014-09-26,Signature,Bills,F,195589.0
357,Bengaluru,2014-03-10,Signature,Bills,F,204735.0
358,Ahmedabad,2014-05-14,Signature,Bills,F,118112.0
359,Greater Mumbai,2013-12-12,Platinum,Bills,F,61572.0
360,Delhi,2015-02-25,Gold,Bills,F,274938.0
361,Greater Mumbai,2014-02-21,Signature,Bills,F,43854.0
362,Delhi,2014-04-27,Gold,Bills,F,8798.0
363,Greater Mumbai,2015-05-08,Gold,Bills,F,192241.0
364,Bengaluru,2014-04-10,Silver,Bills,F,128164.0
365,Delhi,2014-04-28,Signature,Bills,F,249061.0
366,Greater Mumbai,2014-01-29,Gold,Bills,F,275283.0
367,Greater Mumbai,2014-01-03,Platinum,Bills,F,172194.0
368,Ahmedabad,2015-05-13,Gold,Bills,F,13162.0
369,Bengaluru,2015-02-05,Platinum,Bills,F,3427.0
370,Bengaluru,2015-01-07,Gold,Bills,F,171374.0
371,Delhi,2015-02-19,Signature,Bills,F,286251.0
372,Ahmedabad,2014-10-19,Platinum,Bills,F,123417.0
373,Delhi,2013-12-03,Silver,Bills,F,81088.0
374,Ahmedabad,2014-10-26,Signature,Bills,F,64113.0
375,Bengaluru,2014-03-27,Platinum,Bills,F,54374.0
376,Ahmedabad,2015-03-18,Signature,Bills,F,175515.0
377,Delhi,2013-11-25,Gold,Bills,F,78773.0
378,Bengaluru,2014-06-25,Signature,Bills,F,143515.0
379,Delhi,2014-11-22,Silver,Bills,F,263613.0
380,Greater Mumbai,2015-04-22,Platinum,Bills,F,265434.0
381,Delhi,2014-06-03,Signature,Bills,F,87839.0
382,Delhi,2014-06-16,Signature,Bills,F,60905.0
383,Delhi,2015-04-09,Platinum,Bills,F,199726.0
384,Delhi,2015-01-20,Silver,Bills,F,267896.0
385,Ahmedabad,2013-12-31,Gold,Bills,F,198937.0
386,Greater Mumbai,2014-10-02,Gold,Bills,F,90745.0
387,Greater Mumbai,2014-07-24,Silver,Bills,F,86676.0
388,Greater Mumbai,2015-05-08,Platinum,Bills,F,163574.0
389,Greater Mumbai,2015-04-27,Signature,Bills,F,2138.0
390,Bengaluru,2014-06-11,Silver,Bills,F,253749.0
391,Delhi,2014-06-06,Platinum,Bills,F,60187.0
392,Bengaluru,2015-03-03,Platinum,Bills,F,15566.0
393,Greater Mumbai,2014-07-11,Signature,Bills,F,242144.0
394,Delhi,2014-03-17,Platinum,Bills,F,114049.0
395,Bengaluru,2014-03-17,Gold,Bills,F,100992.0
396,Delhi,2014-03-03,Silver,Bills,F,173017.0
397,Greater Mumbai,2014-06-07,Gold,Bills,F,279567.0
398,Delhi,2013-12-28,Signature,Bills,F,25016.0
399,Delhi,2013-11-11,Silver,Bills,F,157982.0
400,Bengaluru,2014-05-17,Signature,Bills,F,240387.0
401,Delhi,2014-08-31,Platinum,Bills,F,134030.0
402,Bengaluru,2015-01-26,Gold,Bills,F,108651.0
403,Delhi,2014-01-17,Gold,Bills,F,138617.0
404,Bengaluru,2014-01-27,Signature,Bills,F,98963.0
405,Delhi,2013-12-24,Silver,Bills,F,25486.0
406,Delhi,2015-03-03,Gold,Bills,F,231140.0
407,Ahmedabad,2013-10-22,Gold,Bills,F,20032.0
408,Greater Mumbai,2015-01-14,Gold,Bills,F,293938.0
409,Delhi,2014-01-11,Silver,Bills,F,88175.0
410,Ahmedabad,2015-02-07,Platinum,Bills,F,105297.0
411,Delhi,2013-10-08,Platinum,Bills,F,129169.0
412,Greater Mumbai,2014-08-14,Signature,Bills,F,172386.0
413,Greater Mumbai,2015-05-09,Platinum,Bills,F,46369.0
414,Greater Mumbai,2014-04-02,Silver,Bills,F,158636.0
415,Delhi,2014-11-26,Signature,Bills,F,87219.0
416,Delhi,2014-11-16,Gold,Bills,F,183445.0
417,Bengaluru,2014-06-27,Silver,Bills,F,147977.0
418,Ahmedabad,2014-11-19,Platinum,Bills,F,243279.0
419,Bengaluru,2014-04-04,Platinum,Bills,F,243950.0
420,Delhi,2015-04-14,Silver,Bills,F,32548.0
421,Delhi,2013-12-09,Platinum,Bills,F,118126.0
422,Greater Mumbai,2013-11-30,Platinum,Bills,F,13325.0
423,Greater Mumbai,2014-02-16,Gold,Bills,F,295055.0
424,Greater Mumbai,2015-01-12,Platinum,Bills,F,64764.0
425,Bengaluru,2014-02-03,Platinum,Bills,F,174520.0
426,Delhi,2013-11-05,Signature,Bills,F,72763.0
427,Greater Mumbai,2014-09-27,Signature,Bills,F,269809.0
428,Delhi,2014-06-29,Silver,Bills,F,81145.0
429,Ahmedabad,2014-07-13,Silver,Bills,F,25948.0
430,Greater Mumbai,2015-01-23,Silver,Bills,F,120188.0
431,Greater Mumbai,2014-12-05,Signature,Bills,F,8259.0
432,Delhi,2014-04-15,Signature,Bills,F,285830.0
433,Bengaluru,2015-04-27,Gold,Bills,F,67039.0
434,Ahmedabad,2014-07-25,Gold,Bills,F,14370.0
435,Ahmedabad,2014-10-10,Platinum,Bills,F,54304.0
436,Greater Mumbai,2013-10-18,Gold,Bills,F,188856.0
437,Ahmedabad,2014-01-18,Gold,Bills,F,44635.0
438,Greater Mumbai,2013-11-22,Platinum,Bills,F,227273.0
439,Delhi,2014-03-26,Gold,Bills,F,234200.0
440,Delhi,2014-12-12,Signature,Bills,F,79053.0
441,Greater Mumbai,2015-03-01,Silver,Bills,F,49711.0
442,Greater Mumbai,2014-10-29,Signature,Bills,F,203463.0
